# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Sun Nov  2 00:17:36 UTC 2025

/esaguila-roja | Águila Roja
/esmytime-movie-network | MyTime Movie Network
/esruntime-accion | Runtime Acción
/esruntime-clasicos | Runtime Clásicos
/esruntime-comedia | Runtime Comedia
/esruntime-romance | Runtime Romance
/esruntime-series | Runtime Series
/esruntime-thriller | Runtime Thriller
1+1 International | 1+1 International
1-1-travel | 1+1 Travel
13.TV.es | 13 TV
24 Horas | 24 Horas
24 horas Canarias | 24 horas Canarias
24 horas Cataluña | 24 horas Cataluña
3/24.es | 3/24
324.es | 324
3CatInfo Catalunya | 3CatInfo Catalunya
3CatInfo | 3CatInfo
4K.Travel.TV.es | 4K Travel TV
5-minutes-craft-es | Ideas en 5 minutos
643054b1fc3be59477853717-67a1a8ef2358ef4dd5c3018e | Lucha Plus
643054b1fc3be59477853717-67c247c345ae99120c071586 | GFN Soccer TV
643054b1fc3be59477853717-67c24d5a45ae99120c07158c | Gata Salvaje
643054b1fc3be59477853717-67d4afc7f6df733141442cb4 | Z Nation
643054b1fc3be59477853717-67d9a3d663c5439aeaf61305 | The Bold and the Beautiful
643054b1fc3be59477853717-67db3546d66f778a752f7eaa | PeliMex
643054b1fc3be59477853717-67e6979de1de65be88aeb39f | RCN Noticias
643054b1fc3be59477853717-67f45ef989089d917e1b1634 | Unbeaten
643054b1fc3be59477853717-68251044ae4546e02a6ba4f7 | Viajes &amp; Sabores
643054b1fc3be59477853717-682510ec0f741b077c360512 | Actualidad 360
643054b1fc3be59477853717-682d0bc9363625fa508aef43 | Nature Time
643054b1fc3be59477853717-682dfb2ddfc9c452b8f98426 | Homeful
643054b1fc3be59477853717-682dff1fdfc9c452b8f9842a | K-Baseball TV
643054b1fc3be59477853717-682e09a8dfc9c452b8f9bd66 | KPOP+
643054b1fc3be59477853717-684c2379e32026b0c1f53793 | Million Dollar Dream Home
643054b1fc3be59477853717-685c78a77223639b1ac098a1 | RCN Más
643054b1fc3be59477853717-685f25c1a7111a932d28f1ac | Todo Drama
643054b1fc3be59477853717-685f27cca7111a932d28f1ae | Asian Drama
643054b1fc3be59477853717-686457b84051ba2be659baaa | Historias de Ultratumba
643054b1fc3be59477853717-68645a8619cc2e163e38d161 | Merli
643054b1fc3be59477853717-68645c1f1a2f321847ec0391 | Platos Sucios
643054b1fc3be59477853717-68645f7c1a2f321847ec0393 | Wineman
643054b1fc3be59477853717-686462bf1a2f321847ec0395 | Comercio TV
643054b1fc3be59477853717-6880001d015fe7e375a1a0a8 | Wedotv Amor Piel Salvaje
643054b1fc3be59477853717-68864d2d062dc5a487f806e0 | Todo Pasión
