# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Wed Jan 21 00:19:11 UTC 2026

4seven.uk | 4seven
5.USA.uk | 5 USA
5ACTION.uk | 5ACTION
5SELECT.uk | 5SELECT
5STAR+1.uk | 5STAR+1
5STAR.uk | 5STAR
5USA+1.uk | 5USA+1
GBBD3000001QB | Wipeout Xtra Powered by Banijay
GBBD30000038U | DAZN Ringside
GBBD3000004VR | Def Jam
GBBD3100001A8 | U&amp;Transport
GBBD3100002NU | U&amp;Real Heroes
GBBD3100003J5 | U&amp;Laughs
GBBD3100004OI | U&amp;The Past
GBBD3100005RX | Challenge
GBBD3100006XM | Sky Mix
GBBD3200001E2 | Earth Touch
GBBD3200002CG | Eggheads
GBBD3200003T6 | Tiny POP
GBBD3600001NO | CNBC
GBBD3700001AB | DATELINE 24/7
GBBD4100006KV | Born to Kill
GBBD4100010H1 | Crime Network
GBBD4100011RE | K-Drama+
GBBD4900001RG | Reuters
GBBD50000084W | Jack Hanna
GBBD500001F5 | Love the Planet
GBBD500002R4 | Inside Crime
GBBD50000320 | Mystery TV
GBBD500005ZG | Robot Wars by Mech+
GBBD500007TG | Grjngo - Western Movies
GBBD5100001HL | SuperToons TV
GBBD8000016N | CNN
GEO.News.uk | GEO News
GEO.TV.uk | GEO TV
GINXeSportsTV.uk | GINXeSportsTV
GOD.Channel.uk | GOD Channel
GREAT!.action.uk | GREAT! action
GREAT!.movies+1.uk | GREAT! movies+1
GREAT!.movies.uk | GREAT! movies
GREAT!.romance.uk | GREAT! romance
GREAT!.tv+1.uk | GREAT! tv+1
GREAT!.tv.uk | GREAT! tv
